trials,feedback_start,baseline_start,reward,gamble_rt,rpe
1,243.2391584001016,244.92902510007843,1.0,7.453225599951111,0.5
2,248.3441868000664,250.04318700009023,0.0,1.7424248000606894,-0.8258234858512878
3,254.0830591000849,255.7906700000167,0.0,1.935539299971424,-0.7123218878645687
4,258.1482202000916,259.8388916000258,1.0,0.4494314999319613,0.2481394867601608
5,261.94371220003814,263.62063050002325,0.0,0.391258200048469,-0.9135598583469292
6,265.6764221000485,267.36888100008946,1.0,0.3857412999495864,0.6817586568138811
7,269.5601606001146,271.2504758000141,0.0,0.3915322000393644,-0.2374926926690999
8,273.29764670005534,274.9821264001075,1.0,0.3188351000426337,0.0827312986897904
9,277.49933860008605,279.18018130003475,1.0,0.5951211999636143,0.0288196984335672
10,281.37458180007525,283.06146700005047,1.0,0.5483027000445873,0.0100394292239517
11,285.45583870005794,287.1432340000756,1.0,0.4085750000085681,0.0034972655725412
12,289.77229330001865,291.4745258000912,1.0,0.6261653000256047,0.0012182830529551
13,293.5258362001041,295.20619130006526,0.0,0.4179865000769496,-0.9995756074091796
14,297.64440360001754,299.33761260006577,0.0,0.6555392000591382,-0.6517948101467749
15,301.4069978001062,303.08605900011025,1.0,0.3263456999557093,0.2270546959431738
16,305.4303009000141,307.13409830001183,1.0,0.3551409000065177,0.0790951909209555
17,309.32830240007024,311.01578940008767,1.0,0.4396073999814689,0.0275530492810778
18,313.13689200009685,314.8307103000116,0.0,0.4660512000555172,-0.9904018118441084
19,317.02395410009194,318.7289798000129,0.0,0.2735295000020414,-0.6549905296128489
20,320.7590642001014,322.4605440000305,0.0,0.3475878000026569,-0.7718320655032302
21,324.899579100078,326.5919897001004,1.0,0.3648914999794215,0.2688700373551063
22,328.6825796000194,330.35694910003804,1.0,0.3940182999940589,0.0936616917310928
23,332.73220620001666,334.4384814000223,1.0,0.3822930000023916,0.032627333949986
24,336.852188100107,338.5531742000021,1.0,0.4492938000475988,0.011365830586749
25,340.8087588000344,342.5015012000222,1.0,0.3162731999764219,0.0039593215040094
